,Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
23,2023-02-21,1401-12-02,3849.0,3920.0,3760.0,3800.0,3848.0,0.2675227937415977,ونفت,3710.0,0.0566037735849056,0.013477088948787,0.037466307277628,0.0242587601078167,4615.418480206045,1,0.2879656975205146,0.0030015146463049,-0.1641258956473341,0.8229521580944548,0.4720357395456195,-0.5911265056779891,0.1224344264293343,0.6879891591769977,0.0791292898418507,-0.6411292724860916,-0.1686425009528079,0.3087527800654364,-1.8176705453696596,-1.8330235458641575,-1.8639459347181224,-1.690055196316864,0.994254400099158
24,2023-02-22,1401-12-03,3810.0,3810.0,3580.0,3729.0,3714.0,-0.4305195069115126,ونفت,3848.0,-0.0098752598752598,-0.0696465696465696,-0.0098752598752598,-0.0309251559251559,4607.592742360742,1,-0.2016471654647061,-1.1976043438757018,-0.4668031586521567,-0.1256958627637064,-0.3028911425466525,-0.4091615152285541,-0.4828611176058511,0.0859937010357801,-0.3989079307218031,-0.5308045643975718,-0.5354882804849072,-0.1032786839673351,-1.970551764691016,-1.9541762628744328,-1.9876225159453544,-1.8860440156456597,0.3236060144143066
25,2023-02-25,1401-12-06,3752.0,3973.0,3752.0,3973.0,3959.0,-0.086867339089144,ونفت,3714.0,0.0697361335487345,0.0102315562735595,0.0102315562735595,0.0697361335487345,4703.286873205231,1,-0.1045873468112482,-1.1976043438757018,0.0059175105351504,-0.1256958627637064,0.1489981357102993,-0.8211440534551482,-0.2023032179817654,0.4267413265824066,-0.1036076301665379,-0.7899015642007259,-0.3521518943580832,0.1502024009677204,-1.6914631086658625,-1.6909809095820767,-1.6774926788406694,-1.5962309327852742,0.8869143532617182
26,2023-02-26,1401-12-07,4119.0,4221.0,3900.0,3985.0,4054.0,0.2960979622101684,ونفت,3959.0,0.0661783278605708,-0.0149027532205102,0.0404142460217226,0.0065673149785299,4731.586334597469,1,0.3548291281484522,0.6033044439073083,0.1793617848412848,0.3486281476653742,0.3787265174472847,-0.0258750846481726,0.470788429264048,-0.1110522096893753,0.05661578074286,-0.2462828744229908,0.0822092178151395,-0.2059080630592549,-1.5711995672607992,-1.5776379755138787,-1.625254277376387,-1.5022167432213132,-0.0883762647897143
27,2023-02-27,1401-12-08,3953.0,4069.0,3927.0,3940.0,3960.0,-0.1877530709249549,ونفت,4054.0,0.0037000493339911,-0.0313270843611248,-0.0249136655155402,-0.0281203749383325,4693.090875712725,1,-0.0269394918884819,0.6033044439073083,-0.0689015881851427,-0.600019873192787,-0.121380429823023,-0.0693908458367637,0.0152800054805552,-0.436826858128086,-0.2723909587368849,-0.2822103830044176,-0.2174948583673727,-0.4295984197714055,-1.6892793534952055,-1.687838092374946,-1.6806036930231234,-1.5289975678766083,-0.3668869786279845
28,2023-02-28,1401-12-09,4015.0,4036.0,3902.0,3988.0,3992.0,0.0538471010968969,ونفت,3960.0,0.0191919191919191,-0.0146464646464646,0.0138888888888888,0.007070707070707,4725.015832743285,1,-0.1347837348367685,-1.1976043438757018,-0.1607250275236844,0.3486281476653742,0.0961852928032751,0.0996056653128019,0.227941526469752,-0.2365187333543771,-0.1331610862896475,-0.1604329579073164,-0.0814137941362289,-0.2931302804251984,-1.6571688834533371,-1.6526281476657425,-1.62456191227437,-1.5344131115911657,-0.2802060459928635
29,2023-03-01,1401-12-10,3951.0,4171.0,3951.0,3981.0,4067.0,0.080770771171002,ونفت,3992.0,0.0448396793587174,-0.0102705410821643,-0.0102705410821643,-0.002755511022044,4722.759299595439,1,-0.1800783168750488,0.0030015146463049,-0.0416946431959452,0.3486281476653742,0.0955205731923284,0.2325372804541846,0.0029541640082094,0.418851821524018,-0.1231117159412288,-0.0646749367701106,-0.2124732047244756,0.1614110253216621,-1.5528752346875143,-1.5657320391623402,-1.593126781496894,-1.4762733963501,0.2530966821089808
30,2023-03-05,1401-12-14,3905.0,4020.0,3902.0,3940.0,3982.0,-0.3884912581834022,ونفت,4067.0,-0.0115564298008359,-0.040570445045488,-0.0398328005901155,-0.0312269486107696,4691.491461730307,1,-0.3116482932719583,0.0030015146463049,-0.408988400550112,-0.600019873192787,-0.2804463469402301,-0.3092131535497697,-0.2273428377340409,-0.4354300098872972,-0.3705473529085583,-0.4423186314409704,-0.3655137589965582,-0.4287019194734174,-1.6634213379186908,-1.6621340449789066,-1.6564537516521822,-1.5504575878672806,-0.2230000543915936
31,2023-03-06,1401-12-15,3930.0,4260.0,3922.0,4260.0,4207.0,1.6026952684467417,ونفت,3982.0,0.0698141637368156,-0.0150678051230537,-0.0130587644399799,0.0698141637368156,4871.393061057284,1,-0.3526291055923072,-0.5973014146146984,0.2371765429433296,1.2972761685235354,1.8589593579053123,-0.5026210204363668,0.5875895511938367,3.6025555566316645,1.0652790715612757,-0.5727039330471456,0.185587143603978,2.4594098455513023,-1.3953082258218843,-1.4152853581808935,-1.6376915300249224,-1.3209338370588184,3.664812313112496
32,2023-03-07,1401-12-16,4501.0,4501.0,4501.0,4501.0,4501.0,1.213354362451483,ونفت,4207.0,0.0698835274542429,0.0698835274542429,0.0698835274542429,0.0698835274542429,4963.932357367614,1,-0.4410613848099022,-0.5973014146146984,0.0705340048844946,0.8229521580944548,1.4621375039427549,-0.5632860488639875,0.1652656249096851,3.4824303073193907,0.8973116540093362,-0.5904694759229878,-0.0457867969795535,2.562343382918752,-1.0594072676522264,-1.0564438513658558,-1.0459422836281551,-1.0171760910990717,3.5886425038821983
33,2023-03-08,1401-12-16,4501.0,4501.0,4501.0,4501.0,4501.0,1.213354362451483,ونفت,4501.0,0.0,0.0,0.0,0.0,4998.315194926978,1,-0.4410613848099022,-0.5973014146146984,0.0705340048844946,0.8229521580944548,1.4621375039427549,-0.5632860488639875,0.1652656249096851,3.4824303073193907,0.8973116540093362,-0.5904694759229878,-0.0457867969795535,2.562343382918752,-1.0594072676522264,-1.0564438513658558,-1.0459422836281551,-1.0171760910990717,3.5886425038821983
34,2023-03-12,1401-12-21,4580.0,4650.0,4421.0,4609.0,4547.0,0.5475723181554227,ونفت,4501.0,0.033103754721173,-0.0177738280382137,0.017551655187736,0.0239946678515885,5013.541669583384,1,-0.1412543894136657,0.0030015146463049,0.5602590146900505,-0.600019873192787,0.4711802574269823,0.7638249720278181,0.8664724323499184,-0.3463296326250705,0.2000016070553279,0.4480279943549324,0.4578323726839864,-0.3569570849904583,-1.0150954804173569,-1.0052969054615577,-0.9621685212266404,-0.876444087594961,-0.7777050376138879
35,2023-03-13,1401-12-22,4600.0,4865.0,4590.0,4865.0,4833.0,1.395081497174146,ونفت,4547.0,0.0699362216846272,0.0094567846932043,0.0116560369474378,0.0699362216846272,5182.476885663048,1,-0.3332171418616157,0.6033044439073083,1.1520100682050969,4.143220231098018,1.598430857387488,-0.3108697373352334,0.7553544393245342,2.5381746060709105,1.1135727855747917,-0.3754670105561201,0.4422980047068203,2.025241462901029,-0.6664635504636642,-0.6954212882636673,-0.7693244032654826,-0.6289114945595091,2.5563233940985874
36,2023-03-14,1401-12-23,5162.0,5171.0,4980.0,5160.0,5140.0,3.011665838918553,ونفت,4833.0,0.0699358576453548,0.0304158907510862,0.0680736602524312,0.0676598386095592,5289.099732368004,1,1.0234634344278286,-0.5973014146146984,2.66879725135286,2.2459241893816966,3.35298847143421,-0.5486842408772119,2.651016711131239,2.6751477732050177,2.644747770683721,-0.5528323177608613,2.0374013517036835,2.2943227558836106,-0.3132851619391812,-0.3189271448993491,-0.4164825885774004,-0.3128722905496188,2.825690119835321
37,2023-03-15,1401-12-24,5171.0,5229.0,4980.0,5080.0,5093.0,1.220292116019306,ونفت,5140.0,0.0173151750972762,-0.0311284046692607,0.0060311284046692,-0.0116731517509727,5287.905422173422,1,1.0881699801968006,0.6033044439073083,1.3084500018929828,-0.600019873192787,1.00894454500213,1.5460064501481898,1.65625834365653,-0.2917015288508992,0.730298069044313,1.2680655798423766,1.2249219056518443,-0.3000778483873769,-0.367957550979346,-0.367507784440933,-0.3573987656942873,-0.3247822575532413,-1.191695322209828
38,2023-03-19,1401-12-28,5490.0,5710.0,5340.0,5600.0,5590.0,-0.0905041516457507,ونفت,5093.0,0.1211466719026114,0.0484979383467504,0.0779501276261535,0.0995483997643824,5512.808864956618,1,0.1046304845084275,-0.5973014146146984,0.420823421620413,0.3486281476653742,0.0814187814594343,-0.5291458542481638,-0.0440919362566126,0.0128390243019903,0.0421271073996523,-0.5096490870230276,-0.0692976509696164,0.0012646287942249,0.2175667633757967,0.2143237166737777,0.1722119086533769,0.1603559237967116,0.3265895574601772
