,Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
10,2022-06-19,1401-03-29,17290.0,17290.0,16800.0,16950.0,17000.0,1826556.0,فجر,16920.0,0.0218676122931442,-0.0070921985815602,0.0218676122931442,0.00177304964539,-0.5282325808701418,13775.195905857723,0,-0.2671188928906051,-0.930529918631778,-0.5095624664372999,-0.2965327194911673,-0.4353025702025266,-0.6523597583000444,-0.6210748259596998,-0.3385328455417061,-0.3741701460299442,-0.5352807694310805,-0.5109965698169223,-0.3613099051053711,1.7755368274713184,1.774809973672871,1.7567080186835475,1.6909873253155996,-0.0392635264219624
11,2022-06-20,1401-03-30,16780.0,17130.0,16550.0,16700.0,16730.0,3667649.0,فجر,17000.0,0.0076470588235294,-0.0264705882352941,-0.0129411764705882,-0.0176470588235294,-0.4049763614758982,13651.764020354836,0,0.6811564304507377,-0.4043507517909975,-0.5907574607411191,0.0479541361553372,-0.2819018064359542,-0.667998595733721,-0.5878646849354408,-0.1346874117278279,-0.0623122092932163,-0.5616765337752258,-0.4496773862185135,0.0286161784155834,1.6999850233527418,1.6975017479680494,1.672503000620628,1.6191113215184838,0.2154554695213207
12,2022-06-21,1401-03-31,16940.0,16940.0,15870.0,16070.0,16130.0,6051830.0,فجر,16730.0,0.0125523012552301,-0.0514046622833233,0.0125523012552301,-0.0394500896592946,-0.2453618626908901,13674.357489208343,0,1.634012794001459,-0.4043507517909975,-0.2097655643924284,0.3924409918018419,-0.1251422500222242,-0.5444961405850236,-0.1563482945138228,-0.2886275359211693,0.2286557066585448,-0.3802858808976531,0.3928978601771498,-0.2687852279732021,1.5330848770004477,1.5295191940512587,1.5184174740195004,1.4978022439200616,-0.0400917540439197
13,2022-06-22,1401-04-01,16070.0,16790.0,15950.0,16700.0,16340.0,4106883.0,فجر,16130.0,0.0409175449473031,-0.0111593304401735,-0.0037197768133911,0.0353378797272163,-0.3755708277687953,13623.94404923968,0,0.2276334497222694,-0.4043507517909975,0.3023874766008935,-0.2965327194911673,-0.3594989227351233,-0.2798621315538299,-0.3533177766540972,-0.3298325360117735,-0.2343747703834852,0.0304939517778658,0.0128957714094115,-0.3454894703336082,1.5619267753115686,1.5905316057183558,1.6183837614918917,1.493834795044356,-0.2395048578192899
14,2022-06-25,1401-04-04,16600.0,16990.0,16000.0,16240.0,16460.0,2830756.0,فجر,16340.0,0.0397796817625459,-0.0208078335373317,0.0159118727050183,-0.0061199510403916,-0.4610040945765654,13508.125030378416,0,0.5620493850068976,-1.193619502052168,-0.1473078764664135,0.0479541361553372,-0.331562072324693,-0.7297618913825826,-0.5299274819492318,-0.305909222210397,-0.1721243821736252,-0.6572176132646322,-0.339186808592263,-0.3006241253642087,1.6254321768258169,1.6282822219862512,1.6183837614918917,1.5180354554914697,0.043875177066739
15,2022-06-26,1401-04-05,16700.0,16700.0,16010.0,16100.0,16370.0,685699.0,فجر,16460.0,0.0145808019441069,-0.0273390036452004,0.0145808019441069,-0.0218712029161603,-0.6046098853786367,13484.630830813863,0,-0.7572901952941012,-1.193619502052168,-0.909291669163795,-0.9855064307841768,-0.504979529584927,-0.7297618913825826,-0.7552041764632532,-0.3427034300402832,-0.524543749818133,-0.6572176132646322,-0.8000391198616258,-0.3694199929514269,1.590373492231847,1.589742685147241,1.6183837614918917,1.5180354554914697,-0.000504765191199
16,2022-06-27,1401-04-05,16700.0,16700.0,16010.0,16100.0,16370.0,685699.0,فجر,16370.0,0.0201588271227855,-0.0219914477703115,0.0201588271227855,-0.0164935858277336,-0.6046098853786367,13510.069085744914,0,-1.2428804574882188,-1.193619502052168,-1.5088854732535375,-0.9855064307841768,-0.5604149688417324,-0.7297618913825826,-0.838151384100059,-0.3427034300402832,-0.6360711336342649,-0.6572176132646322,-0.9677895977534534,-0.3694199929514269,1.590373492231847,1.589742685147241,1.6183837614918917,1.5180354554914697,-0.000504765191199
17,2022-06-28,1401-04-07,16350.0,16640.0,15940.0,16260.0,16210.0,2367810.0,فجر,16370.0,0.0164935858277336,-0.0262675626145387,-0.0012217470983506,-0.0067196090409285,-0.4919970828415186,13477.725869374306,0,0.2963490528629464,-0.1412611683706073,-0.2097655643924284,-0.9855064307841768,-0.3867824634796007,-0.6687021506064712,-0.5517236253976179,-0.3427034300402832,-0.2894354460007872,-0.5654471714748,-0.3929552412955399,-0.3694199929514269,1.5552256292206514,1.5547983681803963,1.542606672460467,1.5180354554914697,-0.0350484646415406
18,2022-06-29,1401-04-08,16420.0,16420.0,15990.0,16110.0,16080.0,1457972.0,فجر,16210.0,0.0129549660703269,-0.013571869216533,0.0129549660703269,-0.0061690314620604,-0.5529082872951881,13441.380460240063,0,0.0214866403002383,-0.4043507517909975,-0.6094947671189236,-0.9855064307841768,-0.4443340245661695,-0.7236227092930361,-0.6617843393579068,-0.3427034300402832,-0.4061535536874668,-0.6480551829437847,-0.6166293695608195,-0.3694199929514269,1.5195269599045915,1.5190300862220645,1.5115285833441392,1.5180354554914697,-0.0039779221073054
19,2022-07-02,1401-04-11,16120.0,16400.0,15850.0,15940.0,16070.0,1674275.0,فجر,16080.0,0.0199004975124378,-0.0143034825870646,0.0024875621890547,-0.0087064676616915,-0.5384273838190285,13441.135447382716,0,-0.1159445659811157,-0.930529918631778,-0.3096978650740522,-0.9855064307841768,-0.4327214270636975,-0.7034640311705398,-0.6356187333799719,-0.3427034300402832,-0.3836227953458428,-0.6174555350632294,-0.5649172339603563,-0.3694199929514269,1.511164340644408,1.514729089689594,1.5693006316438731,1.5180354554914697,-0.0153824139955534
20,2022-07-03,1401-04-12,16000.0,16150.0,15700.0,16070.0,15990.0,2017178.0,فجر,16070.0,0.0049782202862476,-0.0230242688238954,-0.0043559427504667,0.0,-0.5154709512005001,13410.260291072764,0,-0.2808620135187405,-0.6674403352113877,-0.5345455416077057,-0.2965327194911673,-0.416754590568705,-0.6631250356195241,-0.6074716818098881,-0.328361230937816,-0.3531701364320203,-0.5582888337889007,-0.5112220722959508,-0.3430142854210375,1.4935501700213774,1.4922609544928584,1.488299610047696,1.4518836975474965,-0.0209045592771426
21,2022-07-04,1401-04-13,16200.0,16250.0,15900.0,15900.0,16010.0,2097812.0,فجر,15990.0,0.016260162601626,-0.0056285178236397,0.0131332082551594,-0.0056285178236397,-0.5100727219993487,13363.09978935229,0,0.4017129776786511,0.1218284150497829,-0.5907574607411191,0.0479541361553372,-0.4266657210213509,-0.606744101203402,-0.6656223922118566,-0.2553167310124684,-0.3722657490072905,-0.4750750381565905,-0.6258081829293406,-0.2095205632904552,1.5007154096066422,1.4989044662057385,1.4765435522650026,1.42570602168418,0.035302542480552
22,2022-07-05,1401-04-14,15810.0,16190.0,15800.0,15950.0,16010.0,10004589.0,فجر,16010.0,0.0112429731417863,-0.0131168019987507,-0.0124921923797626,-0.0037476577139287,0.019264709957298,13348.90962107688,0,0.1543368063722139,-0.4043507517909975,-0.5033166976446983,0.0479541361553372,-0.3507661912047556,1.3263536429349656,-0.6049819313106446,0.7083094979073152,-0.2228879584148576,2.3934414492348406,-0.5058488893353594,1.5549155016180691,1.4971870850216085,1.496576435539804,1.485652166654264,1.428346764915813,0.1039730809370588
23,2022-07-06,1401-04-15,15900.0,15990.0,15500.0,15600.0,15760.0,13462109.0,فجر,16010.0,-0.0012492192379762,-0.0318550905683947,-0.0068707058088694,-0.0256089943785134,0.250736364936153,13258.512020189768,0,0.8827221996633904,0.6480075818905633,-0.2285028707702328,0.0479541361553372,-0.3008909580592703,2.114411947694315,-0.4198962840282887,0.9591189324276296,-0.1360503859915635,3.506166336388365,-0.1578613884318067,1.982972707164052,1.3968571063443602,1.3956098693764596,1.4268940320186425,1.3730393984382605,-0.0393420016561823
24,2022-07-09,1401-04-18,15790.0,15820.0,15120.0,15250.0,15370.0,2101616.0,فجر,15760.0,0.0038071065989847,-0.0406091370558375,0.0019035532994923,-0.0323604060913705,-0.5098180544412321,13013.93634723259,0,0.3788077766317588,-0.4043507517909975,-0.153553645259015,-0.9855064307841768,-0.4122874917452639,-0.6550288834698907,-0.5839244146501499,-0.3427034300402832,-0.3557641380795107,-0.5507376816249565,-0.4841537531574574,-0.3694199929514269,1.3188047290156513,1.3186459343445252,1.3115014813630712,1.3730393984382605,-0.0427839254290692
25,2022-07-11,1401-04-20,15360.0,15800.0,14720.0,14770.0,15090.0,3218760.0,فجر,15370.0,0.0279765777488614,-0.0422901756668835,-0.0006506180871828,-0.0390370852309694,-0.435028271437895,12778.583220302482,0,0.9056274007102828,-0.1412611683706073,0.1962094071266682,-0.6410195751376719,-0.3314830866120787,-0.6223901517390863,-0.44897986501073,-0.3424953627533585,-0.2101187426927196,-0.5084341844450914,-0.2408005180521042,-0.3690671536414344,1.246703823351319,1.241076477852788,1.1958279129084286,1.1160670487795858,-0.0609978703410504
26,2022-07-12,1401-04-21,14700.0,14980.0,14510.0,14520.0,14690.0,2081623.0,فجر,15090.0,-0.0072895957587806,-0.0384360503644797,-0.025844930417495,-0.0377733598409542,-0.5111565319621119,12653.069449035114,0,0.2963490528629464,-0.4043507517909975,-0.2347486395628343,-0.6410195751376719,-0.417317434510589,-0.6433148058093994,-0.6167620971287295,-0.3099818238027489,-0.3772312356052458,-0.5396670480044311,-0.5651619583106879,-0.3145973143836671,1.1290559551137906,1.129469176814453,1.1192808444724476,1.069003768144849,-0.0099432955117689
27,2022-07-13,1401-04-22,14790.0,14870.0,14000.0,14000.0,14270.0,4799384.0,فجر,14690.0,0.0122532334921715,-0.0469707283866575,0.0068073519400953,-0.0469707283866575,-0.3292097503073455,12466.82013316552,0,1.574459271279539,-0.1412611683706073,-0.0473755757847897,0.0479541361553372,-0.1991846050279953,-0.6378758494685994,-0.269367386581657,-0.3300265499735025,-0.0012658178988072,-0.5359950455427177,0.0361285919981504,-0.3480419741410653,1.0120413198086506,1.0083421635898655,0.9994446386484584,1.0943093825393888,-0.037197587405888
28,2022-07-16,1401-04-25,14000.0,14000.0,13540.0,13680.0,13660.0,3776234.0,فجر,14270.0,-0.0189208128941836,-0.051156271899089,-0.0189208128941836,-0.0413454800280308,-0.3977068880799731,12191.720659656628,0,0.937694682175932,-0.930529918631778,0.5959386098531635,-0.6410195751376719,-0.2607839211393049,-0.7103420013618741,-0.3817019242779424,-0.3423251613704332,-0.1321528811704864,-0.6326716094887069,-0.1961330646274185,-0.3688299629634439,0.8403686188308057,0.8401186083144708,0.8359002651562829,0.8018529657656245,-0.0110350429702368
29,2022-07-17,1401-04-26,13690.0,13690.0,13150.0,13440.0,13350.0,1806855.0,فجر,13660.0,0.0021961932650073,-0.0373352855051244,0.0021961932650073,-0.0161054172767203,-0.5295515097772019,12135.997015479832,0,-0.0563910432591956,-0.6674403352113877,0.0025905745560221,-0.2965327194911673,-0.4186392527308996,-0.7150069363718485,-0.6201265627120285,-0.3421164434666012,-0.4030239790858188,-0.6388690730696979,-0.6074827841817956,-0.3685144415645602,0.7539657240772467,0.7543433753770438,0.7755463425651526,0.7623270241083989,-0.0081441722920424
30,2022-07-19,1401-04-28,13230.0,13990.0,13230.0,13900.0,13720.0,2141949.0,فجر,13350.0,0.047940074906367,-0.0089887640449438,-0.0089887640449438,0.0411985018726591,-0.5071178686837348,12376.148030605713,0,-0.148011847446765,-0.930529918631778,-0.1473078764664135,-0.6410195751376719,-0.3876175938903536,-0.728496269407233,-0.5893738738980566,-0.3315932354860566,-0.3441356745773791,-0.6556541081564521,-0.5455839345078569,-0.3517205309114711,0.857800642300801,0.8549355847199213,0.7513406690643424,0.8787231060509272,0.0121799716681131
31,2022-07-20,1401-04-29,14090.0,14360.0,13860.0,14170.0,14120.0,2117018.0,فجر,13720.0,0.0466472303206997,0.010204081632653,0.0269679300291545,0.0327988338192419,-0.5087869320095515,12471.42270399543,0,-0.0563910432591956,-0.1412611683706073,-0.2909605586962477,-0.6410195751376719,-0.4107882992634633,-0.6559005591048203,-0.5846058238699651,-0.3399662847116642,-0.375536359341532,-0.5613857920554196,-0.5246007681765167,-0.3649430438502804,0.9754329240870236,0.9698003961438072,0.9349394912917176,0.977033528904174,-0.0389893339535979
32,2022-07-23,1401-05-01,13280.0,13480.0,13280.0,13350.0,13310.0,17029598.0,فجر,14120.0,-0.0453257790368272,-0.0594900849858356,-0.0594900849858356,-0.0545325779036827,0.4895701483846536,12113.848308182856,0,6.274606526101848,-0.4043507517909975,2.163626576796137,0.3924409918018419,0.416523011011452,0.6422627710984822,0.6656159417640813,0.2556581392771757,0.9662605943914468,1.031375995240863,1.5096523153926191,0.5410561598843477,0.7457478319090116,0.7428098516898597,0.7376388826605558,0.713576541197294,-0.0549849409446496
33,2022-07-24,1401-05-02,13400.0,13400.0,12520.0,12520.0,12670.0,9704432.0,فجر,13310.0,0.0067618332081141,-0.0593538692712246,0.0067618332081141,-0.0593538692712246,-0.0008299930504902,11613.934953692818,0,2.3303309058269863,-0.1412611683706073,1.332939327380139,0.0479541361553372,-0.2151097254250256,0.7775653062777627,-0.0564648076938678,0.0792177305819006,-0.0969501377394901,1.112225011591811,0.2583522558704878,0.2421316764670346,0.5665246555420859,0.5645494378108048,0.5695753014897456,0.546806984041018,-0.3443469859847968
34,2022-07-25,1401-05-03,12040.0,12600.0,11910.0,11910.0,11990.0,4049957.0,فجر,12670.0,-0.005524861878453,-0.0599842146803472,-0.0497237569060773,-0.0599842146803472,-0.3793818702013268,11406.069987848849,0,1.075125888457286,-0.1412611683706073,0.9019812806906364,-0.2965327194911673,-0.3041393162300397,-0.4856261311222473,-0.4194755595002365,-0.2660746815731333,-0.2578435980155916,-0.3858536601642869,-0.3458854229555962,-0.2650215778113046,0.3724008799838031,0.3766368534482401,0.385165110942861,0.3456457616844124,-0.0461941452073312
35,2022-07-26,1401-05-04,11700.0,12270.0,11700.0,12150.0,12020.0,1638775.0,فجر,11990.0,0.0233527939949958,-0.0241868223519599,-0.0241868223519599,0.0133444537114261,-0.540804013238887,11472.224406363066,0,-0.363320737287553,-0.6674403352113877,-0.0036551942365793,-0.9855064307841768,-0.4435733525395699,-0.6760733860043316,-0.639913075170038,-0.3427034300402832,-0.4630751463027723,-0.5973903329294111,-0.6727357839815485,-0.3694199929514269,0.3831729073562466,0.3833510614129121,0.3934790766049425,0.3456457616844124,-0.0308782906950926
36,2022-07-27,1401-05-05,12200.0,12360.0,12130.0,12230.0,12270.0,1663771.0,فجر,12020.0,0.0282861896838602,0.0091514143094841,0.0149750415973377,0.0174708818635607,-0.5391305983380763,11528.742998464995,0,-0.4366173806376084,-1.193619502052168,-0.4408590097186834,-0.6410195751376719,-0.4259071509686797,-0.7297618913825826,-0.6731795869907526,-0.3036664156078736,-0.4328621939418873,-0.6572176132646322,-0.716959352724699,-0.3149423012154648,0.4517018909942945,0.4557887172943798,0.3934790766049425,0.4222417365974247,0.0465803753407691
37,2022-07-30,1401-05-08,12630.0,12630.0,12100.0,12190.0,12380.0,1717635.0,فجر,12270.0,0.0293398533007334,-0.0138549307253463,0.0293398533007334,-0.0065199674001629,-0.5355245485614211,11450.66673996481,1,-0.587791707547098,-0.6674403352113877,-0.0848501885403986,-0.6410195751376719,-0.4533772014767202,-0.620552752716127,-0.6326425730683944,-0.3402627057745875,-0.4726140967560187,-0.5325146566888611,-0.6526974202095764,-0.3660395911989617,0.4888275970733916,0.4846752732689061,0.4748904192543613,0.3978861321100965,-0.0593443971560361
38,2022-07-31,1401-05-09,12000.0,12000.0,11640.0,11650.0,11710.0,3205900.0,فجر,12380.0,-0.0306946688206785,-0.0597738287560581,-0.0306946688206785,-0.0589660743134087,-0.4358892138136522,11312.586070077848,1,0.2505386507691617,0.3849179984701731,-0.2285028707702328,-0.2965327194911673,-0.404035142102669,-0.3769893243574019,-0.4770871183146467,-0.3139340612672675,-0.4103114735948357,-0.2747575819094477,-0.4440250092275355,-0.3310870093313433,0.2992293114160476,0.29803069541223,0.3042212875929643,0.2763943179123998,-0.1653802905844969
39,2022-08-01,1401-05-10,11640.0,12210.0,11640.0,11760.0,11750.0,925560.0,فجر,11710.0,0.0426985482493595,-0.0059777967549103,-0.0059777967549103,0.0042698548249359,-0.5885518372299975,11240.342510573531,1,-0.6519262704783965,-0.6674403352113877,-0.690689761422743,-0.9855064307841768,-0.4960371665777847,-0.6939044515943459,-0.7261888210799554,-0.3427034300402832,-0.5427926019910205,-0.6181085302394106,-0.8047079402571672,-0.3694199929514269,0.3111857124372233,0.3114951488520866,0.3235237019071222,0.2763943179123998,-0.0207906132370553
40,2022-08-02,1401-05-11,11820.0,11940.0,11580.0,11820.0,11790.0,1271177.0,فجر,11750.0,0.0161702127659574,-0.0144680851063829,0.0059574468085106,0.0059574468085106,-0.5654137096186382,11306.099824698778,1,-0.6885745921534242,-0.930529918631778,-0.4408590097186834,-0.9855064307841768,-0.4583174869694872,-0.7274592472801271,-0.6843804400529889,-0.3427034300402832,-0.4878331359664828,-0.6547076140451669,-0.7433599973068922,-0.3694199929514269,0.3180081130363316,0.3181208564554914,0.3216559490768721,0.2763943179123998,-0.0018074540792501
41,2022-08-03,1401-05-12,11990.0,12100.0,11850.0,12020.0,11890.0,870044.0,فجر,11790.0,0.0262934690415606,0.005089058524173,0.01696352841391,0.0195080576759966,-0.5922684839588106,11441.485437111274,1,-0.6885745921534242,-0.930529918631778,-0.67819822383754,-0.9855064307841768,-0.490156975358453,-0.7294844643822868,-0.7329044458353727,-0.3427034300402832,-0.5327940068856744,-0.6569108846325522,-0.8122698314663206,-0.3694199929514269,0.3590109289230993,0.3591464544204389,0.367690649758317,0.2763943179123998,-0.0006617156596389
42,2022-08-06,1401-05-15,11710.0,12500.0,11710.0,12200.0,12130.0,3148510.0,فجر,11890.0,0.0513036164844407,-0.0151387720773759,-0.0151387720773759,0.0260723296888141,-0.4397313197969109,11512.733736609413,1,0.0031624794627244,-0.930529918631778,-0.4408590097186834,-0.2965327194911673,-0.307894330962686,-0.7228262163751867,-0.6423898821602241,-0.1435873305248916,-0.2589071427403145,-0.649507617577709,-0.6712793052566878,-0.0958599047900551,0.4127012114342668,0.4427024471229359,0.3855029720832396,0.3721735967561314,0.2357386494092135
43,2022-08-09,1401-05-18,12390.0,12590.0,12060.0,12320.0,12300.0,1877169.0,فجر,12130.0,0.0379225061830173,-0.0057708161582852,0.021434460016488,0.0156636438582028,-0.5248441767904994,11534.080520306135,1,-0.3816448981250668,-0.930529918631778,-0.2160113331850299,-0.2965327194911673,-0.4088532705721401,-0.7290813629508569,-0.6126366257932812,-0.3410237974326381,-0.4064887429344818,-0.6564570090455226,-0.6244309850826039,-0.3670313210226819,0.4608349809698982,0.4605595651941453,0.4033152944081623,0.4837089974111953,0.00113615195634
44,2022-08-10,1401-05-19,12070.0,12500.0,11970.0,12330.0,12210.0,1208886.0,فجر,12300.0,0.016260162601626,-0.0268292682926829,-0.0186991869918699,0.0024390243902439,-0.5695839243564526,11612.275275232289,1,-0.803100597387886,-0.6674403352113877,-0.7531474493487579,-0.6410195751376719,-0.4749397351043609,-0.6876997967327295,-0.6934277109493506,-0.3410768877722662,-0.5078247529051344,-0.609042723808487,-0.7491490895673621,-0.3671170061218075,0.4281436214147351,0.433877939320994,0.4851065410650816,0.4692419390343425,-0.0223389296082148
45,2022-08-13,1401-05-22,12350.0,12700.0,12220.0,12640.0,12580.0,1601977.0,فجر,12210.0,0.0401310401310401,0.0008190008190008,0.0114660114660114,0.0352170352170352,-0.5432675402640126,11681.449477015978,1,-0.5603054662908271,-1.193619502052168,-0.5532828479855102,-0.2965327194911673,-0.430902896235094,-0.7297618913825826,-0.6506123974981444,-0.3359825573888367,-0.4354366866979265,-0.6572176132646322,-0.6757327071116999,-0.359759502673048,0.5389559956641653,0.5390838625098393,0.4851065410650816,0.5189410500490214,0.0076017265037214
46,2022-08-14,1401-05-23,12520.0,12790.0,12270.0,12300.0,12440.0,952444.0,فجر,12580.0,0.0166931637519872,-0.0246422893481717,-0.0047694753577106,-0.0222575516693163,-0.5867520258124347,11600.210936905947,0,-0.6061158683846118,-0.930529918631778,-0.7593932181413593,-0.9855064307841768,-0.4837378703619598,-0.7286521833813993,-0.7229367341874444,-0.3427034300402832,-0.5190390595795195,-0.6559485331909131,-0.7910202163486513,-0.3694199929514269,0.487011455511274,0.4870062782098117,0.4800452982693673,0.5189410500490214,-0.0011325670649586
47,2022-08-15,1401-05-24,12220.0,12490.0,11950.0,12160.0,12170.0,1220579.0,فجر,12440.0,0.0040192926045016,-0.0393890675241157,-0.017684887459807,-0.022508038585209,-0.5688011094886665,11472.782089468974,0,-0.3679017774969315,-0.930529918631778,-0.7469016805561564,-0.6410195751376719,-0.4623029912278892,-0.7278199023805118,-0.6989688634670285,-0.3335947933393877,-0.4890152776740787,-0.6550111211267355,-0.7580960466291453,-0.3567186671389858,0.4246555543062263,0.4245334826558128,0.4581224400233087,0.4196704181393502,0.0093831143205142
