Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label
2023-04-03,1402-01-14,6590.0,6890.0,6230.0,6750.0,6670.0,1.4916233012750661,کسرا,6607.0,0.04283335855910398,-0.057060693204177386,-0.002573028606023914,0.02164371121537763,6734.923794533219,1
2023-04-04,1402-01-15,6820.0,7130.0,6780.0,6780.0,7050.0,2.900173026170189,کسرا,6670.0,0.06896551724137931,0.01649175412293853,0.022488755622188907,0.01649175412293853,6699.418702231647,1
2023-04-05,1402-01-15,6820.0,7130.0,6780.0,6780.0,7050.0,2.900173026170189,کسرا,7050.0,0.011347517730496455,-0.03829787234042553,-0.032624113475177303,-0.03829787234042553,6770.154595419314,1
2023-04-09,1402-01-20,7900.0,7900.0,7580.0,7730.0,7730.0,1.0697179518899997,کسرا,7050.0,0.12056737588652482,0.075177304964539,0.12056737588652482,0.09645390070921986,7157.453999732738,1
2023-04-10,1402-01-21,8000.0,8040.0,7280.0,7410.0,7590.0,1.133732650110507,کسرا,7730.0,0.040103492884864166,-0.05821474773609314,0.03492884864165589,-0.04139715394566624,7097.608721536003,1
2023-04-11,1402-01-22,7370.0,7980.0,7370.0,7880.0,7690.0,1.1274528734069622,کسرا,7590.0,0.05138339920948617,-0.028985507246376812,-0.028985507246376812,0.03820816864295125,7225.457717670958,1
2023-04-12,1402-01-22,7370.0,7980.0,7370.0,7880.0,7690.0,1.1274528734069622,کسرا,7690.0,0.0377113133940182,-0.04161248374512354,-0.04161248374512354,0.0247074122236671,7333.575908177747,1
2023-04-15,1402-01-26,8000.0,8220.0,7990.0,8220.0,8210.0,1.6538327107068018,کسرا,7690.0,0.06892067620286085,0.03901170351105332,0.04031209362808843,0.06892067620286085,7400.6638628632645,1
2023-04-16,1402-01-27,8780.0,8780.0,8370.0,8490.0,8610.0,1.7531338644660832,کسرا,8210.0,0.06942752740560293,0.0194884287454324,0.06942752740560293,0.0341047503045067,7627.497890053715,1
2023-04-17,1402-01-28,8690.0,8720.0,8310.0,8390.0,8510.0,1.3561921238025938,کسرا,8610.0,0.012775842044134728,-0.03484320557491289,0.009291521486643438,-0.025551684088269456,7501.88220831128,1
2023-04-18,1402-01-28,8690.0,8720.0,8310.0,8390.0,8510.0,1.3561921238025938,کسرا,8510.0,0.024676850763807285,-0.023501762632197415,0.021151586368977675,-0.01410105757931845,7557.251714293925,1
2023-04-19,1402-01-30,8720.0,9150.0,8480.0,8630.0,8750.0,1.0119362253274582,کسرا,8510.0,0.07520564042303172,-0.0035252643948296123,0.024676850763807285,0.01410105757931845,7644.741964253893,1
2023-04-22,1402-01-30,8720.0,9150.0,8480.0,8630.0,8750.0,1.0119362253274582,کسرا,8750.0,0.045714285714285714,-0.030857142857142857,-0.0034285714285714284,-0.013714285714285714,7653.391029869057,1
2023-04-24,1402-02-04,8860.0,8940.0,8310.0,8410.0,8440.0,1.3745149225278717,کسرا,8750.0,0.021714285714285714,-0.05028571428571429,0.012571428571428572,-0.038857142857142854,7557.912132636423,1
2023-04-25,1402-02-05,8500.0,8760.0,8170.0,8300.0,8440.0,1.3835377621967562,کسرا,8440.0,0.037914691943127965,-0.031990521327014215,0.0071090047393364926,-0.016587677725118485,7467.5550043124895,1
2023-04-26,1402-02-06,8560.0,9130.0,8550.0,8800.0,8860.0,1.4438024305889763,کسرا,8440.0,0.08175355450236967,0.013033175355450236,0.014218009478672985,0.04265402843601896,7769.941946834271,1
2023-04-29,1402-02-09,9000.0,9480.0,8900.0,9480.0,9390.0,2.658003660490294,کسرا,8860.0,0.06997742663656885,0.004514672686230248,0.01580135440180587,0.06997742663656885,8045.520732512698,1
2023-04-30,1402-02-10,9900.0,10040.0,9560.0,10040.0,10000.0,1.6589428400948616,کسرا,9390.0,0.06922257720979766,0.01810436634717785,0.054313099041533544,0.06922257720979766,8396.163975171157,1
2023-05-01,1402-02-11,10520.0,10700.0,10070.0,10700.0,10520.0,1.8565604460662772,کسرا,10000.0,0.07,0.007,0.052,0.07,8655.493465382227,1
2023-05-02,1402-02-12,10990.0,11200.0,10100.0,10270.0,10410.0,3.6438875437891873,کسرا,10520.0,0.06463878326996197,-0.039923954372623575,0.04467680608365019,-0.02376425855513308,8505.076552277998,0
2023-05-03,1402-02-13,10020.0,10820.0,9800.0,10300.0,10350.0,2.9774427097985336,کسرا,10410.0,0.0393852065321806,-0.05859750240153699,-0.037463976945244955,-0.010566762728146013,8467.159838853311,0
2023-05-06,1402-02-16,10660.0,10660.0,9910.0,10180.0,10190.0,2.1767739333345544,کسرا,10350.0,0.02995169082125604,-0.04251207729468599,0.02995169082125604,-0.01642512077294686,8443.781010599469,0
2023-05-07,1402-02-17,10190.0,10190.0,9480.0,9480.0,9570.0,-0.09424811688593258,کسرا,10190.0,0.0,-0.06967615309126594,0.0,-0.06967615309126594,8076.793691591869,0
